--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05078125}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.41796875}
{'pid': 104, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe', 'vms': 2.14453125}
{'pid': 344, 'username': None, 'name': 'winlogon.exe', 'vms': 2.29296875}
{'pid': 372, 'username': None, 'name': 'smss.exe', 'vms': 0.4453125}
{'pid': 504, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 4.1484375}
{'pid': 552, 'username': None, 'name': 'csrss.exe', 'vms': 1.9140625}
{'pid': 584, 'username': None, 'name': 'WUDFHost.exe', 'vms': 1.8125}
{'pid': 660, 'username': None, 'name': 'svchost.exe', 'vms': 7.15625}
{'pid': 664, 'username': None, 'name': 'wininit.exe', 'vms': 1.2578125}
{'pid': 680, 'username': None, 'name': 'csrss.exe', 'vms': 2.3671875}
{'pid': 736, 'username': None, 'name': 'services.exe', 'vms': 5.078125}
{'pid': 780, 'username': None, 'name': 'lsass.exe', 'vms': 6.2734375}
{'pid': 892, 'username': None, 'name': 'svchost.exe', 'vms': 0.91015625}
{'pid': 916, 'username': None, 'name': 'svchost.exe', 'vms': 11.1484375}
{'pid': 936, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.83203125}
{'pid': 944, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 11.93359375}
{'pid': 1056, 'username': None, 'name': 'dasHost.exe', 'vms': 2.984375}
{'pid': 1060, 'username': None, 'name': 'svchost.exe', 'vms': 2.453125}
{'pid': 1136, 'username': None, 'name': 'svchost.exe', 'vms': 4.546875}
{'pid': 1156, 'username': None, 'name': 'dwm.exe', 'vms': 54.3359375}
{'pid': 1220, 'username': None, 'name': 'svchost.exe', 'vms': 1.9140625}
{'pid': 1272, 'username': None, 'name': 'svchost.exe', 'vms': 3.44921875}
{'pid': 1320, 'username': None, 'name': 'svchost.exe', 'vms': 2.4140625}
{'pid': 1328, 'username': None, 'name': 'svchost.exe', 'vms': 7.95703125}
{'pid': 1384, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 6.22265625}
{'pid': 1440, 'username': None, 'name': 'svchost.exe', 'vms': 6.0859375}
{'pid': 1448, 'username': None, 'name': 'svchost.exe', 'vms': 13.63671875}
{'pid': 1508, 'username': None, 'name': 'svchost.exe', 'vms': 2.03515625}
{'pid': 1588, 'username': None, 'name': 'svchost.exe', 'vms': 2.43359375}
{'pid': 1616, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 7.03125}
{'pid': 1648, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Explorer.exe', 'vms': 55.9765625}
{'pid': 1672, 'username': None, 'name': 'svchost.exe', 'vms': 1.640625}
{'pid': 1740, 'username': None, 'name': 'svchost.exe', 'vms': 2.2109375}
{'pid': 1760, 'username': None, 'name': 'svchost.exe', 'vms': 3.921875}
{'pid': 1860, 'username': None, 'name': 'svchost.exe', 'vms': 2.140625}
{'pid': 1884, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'NPAV4.EXE', 'vms': 3.4921875}
{'pid': 1940, 'username': None, 'name': 'svchost.exe', 'vms': 1.5234375}
{'pid': 1948, 'username': None, 'name': 'svchost.exe', 'vms': 1.6875}
{'pid': 1956, 'username': None, 'name': 'svchost.exe', 'vms': 1.78125}
{'pid': 1984, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'SmartAudio.exe', 'vms': 54.9375}
{'pid': 2068, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 2.546875}
{'pid': 2080, 'username': None, 'name': 'svchost.exe', 'vms': 1.91015625}
{'pid': 2100, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe', 'vms': 2.0859375}
{'pid': 2128, 'username': None, 'name': 'svchost.exe', 'vms': 2.69921875}
{'pid': 2172, 'username': None, 'name': 'svchost.exe', 'vms': 3.43359375}
{'pid': 2184, 'username': None, 'name': 'svchost.exe', 'vms': 2.1953125}
{'pid': 2204, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 80.75390625}
{'pid': 2304, 'username': None, 'name': 'svchost.exe', 'vms': 82.484375}
{'pid': 2312, 'username': None, 'name': 'svchost.exe', 'vms': 1.29296875}
{'pid': 2320, 'username': None, 'name': 'svchost.exe', 'vms': 1.89453125}
{'pid': 2384, 'username': None, 'name': 'Memory Compression', 'vms': 0.828125}
{'pid': 2456, 'username': None, 'name': 'svchost.exe', 'vms': 2.046875}
{'pid': 2484, 'username': None, 'name': 'spoolsv.exe', 'vms': 5.69140625}
{'pid': 2492, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 1.6796875}
{'pid': 2548, 'username': None, 'name': 'svchost.exe', 'vms': 1.75390625}
{'pid': 2556, 'username': None, 'name': 'svchost.exe', 'vms': 1.71875}
{'pid': 2652, 'username': None, 'name': 'svchost.exe', 'vms': 2.59765625}
{'pid': 2712, 'username': None, 'name': 'svchost.exe', 'vms': 1.92578125}
{'pid': 2716, 'username': None, 'name': 'svchost.exe', 'vms': 3.39453125}
{'pid': 2736, 'username': None, 'name': 'svchost.exe', 'vms': 1.65625}
{'pid': 2744, 'username': None, 'name': 'svchost.exe', 'vms': 3.6640625}
{'pid': 2756, 'username': None, 'name': 'svchost.exe', 'vms': 3.19140625}
{'pid': 2876, 'username': None, 'name': 'svchost.exe', 'vms': 1.93359375}
{'pid': 2940, 'username': None, 'name': 'svchost.exe', 'vms': 3.59765625}
{'pid': 2960, 'username': None, 'name': 'svchost.exe', 'vms': 28.4921875}
{'pid': 3032, 'username': None, 'name': 'svchost.exe', 'vms': 5.08984375}
{'pid': 3044, 'username': None, 'name': 'EMON.EXE', 'vms': 7.09765625}
{'pid': 3076, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'EMAILSCN.EXE', 'vms': 8.81640625}
{'pid': 3096, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 94.57421875}
{'pid': 3128, 'username': None, 'name': 'svchost.exe', 'vms': 2.2265625}
{'pid': 3188, 'username': None, 'name': 'svchost.exe', 'vms': 7.3515625}
{'pid': 3276, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 101.39453125}
{'pid': 3376, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 72.15234375}
{'pid': 3468, 'username': None, 'name': 'nvxdsync.exe', 'vms': 11.9921875}
{'pid': 3480, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 38.0234375}
{'pid': 3752, 'username': None, 'name': 'svchost.exe', 'vms': 3.3125}
{'pid': 3788, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 25.80859375}
{'pid': 3816, 'username': None, 'name': 'armsvc.exe', 'vms': 2.640625}
{'pid': 3824, 'username': None, 'name': 'AdminService.exe', 'vms': 3.015625}
{'pid': 3832, 'username': None, 'name': 'AGMService.exe', 'vms': 2.3671875}
{'pid': 3844, 'username': None, 'name': 'APCONSVC.EXE', 'vms': 7.90625}
{'pid': 3852, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.34375}
{'pid': 3872, 'username': None, 'name': 'AGSService.exe', 'vms': 1.88671875}
{'pid': 3880, 'username': None, 'name': 'CxUtilSvc.exe', 'vms': 1.38671875}
{'pid': 3892, 'username': None, 'name': 'CxAudMsg64.exe', 'vms': 1.86328125}
{'pid': 3928, 'username': None, 'name': 'svchost.exe', 'vms': 3.7265625}
{'pid': 3940, 'username': None, 'name': 'svchost.exe', 'vms': 8.68359375}
{'pid': 3996, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 19.1953125}
{'pid': 4124, 'username': None, 'name': 'svchost.exe', 'vms': 2.43359375}
{'pid': 4132, 'username': None, 'name': 'svchost.exe', 'vms': 1.62890625}
{'pid': 4140, 'username': None, 'name': 'WEBPROT.EXE', 'vms': 11.43359375}
{'pid': 4148, 'username': None, 'name': 'SecurityHealthService.exe', 'vms': 3.9765625}
{'pid': 4156, 'username': None, 'name': 'svchost.exe', 'vms': 23.1875}
{'pid': 4164, 'username': None, 'name': 'svchost.exe', 'vms': 1.52734375}
{'pid': 4172, 'username': None, 'name': 'ETDService.exe', 'vms': 1.06640625}
{'pid': 4188, 'username': None, 'name': 'IpOverUsbSvc.exe', 'vms': 7.890625}
{'pid': 4196, 'username': None, 'name': 'SASrv.exe', 'vms': 1.33984375}
{'pid': 4204, 'username': None, 'name': 'Ext2Srv.exe', 'vms': 1.15625}
{'pid': 4224, 'username': None, 'name': 'sqlwriter.exe', 'vms': 1.58203125}
{'pid': 4236, 'username': None, 'name': 'NPProt.exe', 'vms': 0.984375}
{'pid': 4244, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'SkypeBackgroundHost.exe', 'vms': 1.7734375}
{'pid': 4248, 'username': None, 'name': 'svchost.exe', 'vms': 1.609375}
{'pid': 4256, 'username': None, 'name': 'TeamViewer_Service.exe', 'vms': 6.46484375}
{'pid': 4276, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDCtrlHelper.exe', 'vms': 2.8125}
{'pid': 4284, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDIntelligent.exe', 'vms': 2.171875}
{'pid': 4292, 'username': None, 'name': 'svchost.exe', 'vms': 1.875}
{'pid': 4364, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 48.3359375}
{'pid': 4372, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CoreSync.exe', 'vms': 16.8984375}
{'pid': 4496, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 18.46875}
{'pid': 4504, 'username': None, 'name': 'ZVMonNt.exe', 'vms': 31.16015625}
{'pid': 4512, 'username': None, 'name': 'svchost.exe', 'vms': 4.4296875}
{'pid': 4532, 'username': None, 'name': 'svchost.exe', 'vms': 2.2109375}
{'pid': 4536, 'username': None, 'name': 'svchost.exe', 'vms': 1.2109375}
{'pid': 4596, 'username': None, 'name': 'svchost.exe', 'vms': 3.71484375}
{'pid': 4652, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 22.30078125}
{'pid': 4720, 'username': None, 'name': 'svchost.exe', 'vms': 2.265625}
{'pid': 4788, 'username': None, 'name': 'svchost.exe', 'vms': 1.55859375}
{'pid': 4828, 'username': None, 'name': 'IntelCpHeciSvc.exe', 'vms': 1.33984375}
{'pid': 4996, 'username': None, 'name': 'svchost.exe', 'vms': 1.59765625}
{'pid': 5036, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'figma_agent.exe', 'vms': 4.01171875}
{'pid': 5144, 'username': None, 'name': 'ZVCMD64.EXE', 'vms': 0.796875}
{'pid': 5580, 'username': None, 'name': 'unsecapp.exe', 'vms': 1.26171875}
{'pid': 5636, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 1.83984375}
{'pid': 6300, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe', 'vms': 5.140625}
{'pid': 6356, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CCXProcess.exe', 'vms': 0.5625}
{'pid': 6416, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe', 'vms': 3.20703125}
{'pid': 6436, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'sihost.exe', 'vms': 5.6875}
{'pid': 6456, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDCtrl.exe', 'vms': 8.44140625}
{'pid': 6468, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe', 'vms': 6.92578125}
{'pid': 6516, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ZVMOUNT.EXE', 'vms': 1.8359375}
{'pid': 6540, 'username': None, 'name': 'svchost.exe', 'vms': 2.125}
{'pid': 6584, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'taskhostw.exe', 'vms': 5.34375}
{'pid': 6644, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 17.78515625}
{'pid': 6656, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'pycharm64.exe', 'vms': 828.64453125}
{'pid': 6772, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 25.08203125}
{'pid': 6816, 'username': None, 'name': 'svchost.exe', 'vms': 1.4609375}
{'pid': 6960, 'username': None, 'name': 'svchost.exe', 'vms': 1.39453125}
{'pid': 6964, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ctfmon.exe', 'vms': 2.953125}
{'pid': 7020, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 59.94921875}
{'pid': 7040, 'username': None, 'name': 'svchost.exe', 'vms': 3.01953125}
