--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05078125}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.41796875}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 104, 'vms': 2.14453125}
{'name': 'winlogon.exe', 'username': None, 'pid': 344, 'vms': 2.3515625}
{'name': 'smss.exe', 'username': None, 'pid': 372, 'vms': 0.4453125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 504, 'vms': 4.1484375}
{'name': 'csrss.exe', 'username': None, 'pid': 552, 'vms': 1.88671875}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 584, 'vms': 1.87109375}
{'name': 'svchost.exe', 'username': None, 'pid': 660, 'vms': 7.3828125}
{'name': 'wininit.exe', 'username': None, 'pid': 664, 'vms': 1.41015625}
{'name': 'csrss.exe', 'username': None, 'pid': 680, 'vms': 2.37109375}
{'name': 'services.exe', 'username': None, 'pid': 736, 'vms': 5.34765625}
{'name': 'lsass.exe', 'username': None, 'pid': 780, 'vms': 6.265625}
{'name': 'LockApp.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 824, 'vms': 12.10546875}
{'name': 'svchost.exe', 'username': None, 'pid': 892, 'vms': 0.91015625}
{'name': 'svchost.exe', 'username': None, 'pid': 916, 'vms': 11.59765625}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 936, 'vms': 1.83203125}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 984, 'vms': 10.23828125}
{'name': 'dasHost.exe', 'username': None, 'pid': 1056, 'vms': 3.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1060, 'vms': 2.66796875}
{'name': 'svchost.exe', 'username': None, 'pid': 1136, 'vms': 4.9609375}
{'name': 'dwm.exe', 'username': None, 'pid': 1156, 'vms': 70.84375}
{'name': 'svchost.exe', 'username': None, 'pid': 1220, 'vms': 2.09375}
{'name': 'svchost.exe', 'username': None, 'pid': 1272, 'vms': 3.6015625}
{'name': 'svchost.exe', 'username': None, 'pid': 1320, 'vms': 2.4453125}
{'name': 'svchost.exe', 'username': None, 'pid': 1328, 'vms': 8.28515625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1384, 'vms': 6.5234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1440, 'vms': 6.1875}
{'name': 'svchost.exe', 'username': None, 'pid': 1448, 'vms': 14.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 1508, 'vms': 2.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 1588, 'vms': 2.4765625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1616, 'vms': 7.359375}
{'name': 'Explorer.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1648, 'vms': 54.73046875}
{'name': 'svchost.exe', 'username': None, 'pid': 1672, 'vms': 1.7265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1740, 'vms': 2.3203125}
{'name': 'svchost.exe', 'username': None, 'pid': 1760, 'vms': 4.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 1860, 'vms': 2.28515625}
{'name': 'NPAV4.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1884, 'vms': 3.4921875}
{'name': 'svchost.exe', 'username': None, 'pid': 1940, 'vms': 1.58984375}
{'name': 'svchost.exe', 'username': None, 'pid': 1948, 'vms': 1.9609375}
{'name': 'svchost.exe', 'username': None, 'pid': 1956, 'vms': 1.98046875}
{'name': 'SmartAudio.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1984, 'vms': 56.03125}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 2068, 'vms': 2.6640625}
{'name': 'svchost.exe', 'username': None, 'pid': 2080, 'vms': 1.96484375}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 2100, 'vms': 2.0859375}
{'name': 'svchost.exe', 'username': None, 'pid': 2128, 'vms': 2.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 2172, 'vms': 3.484375}
{'name': 'svchost.exe', 'username': None, 'pid': 2184, 'vms': 2.24609375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 2204, 'vms': 80.98828125}
{'name': 'svchost.exe', 'username': None, 'pid': 2304, 'vms': 83.04296875}
{'name': 'svchost.exe', 'username': None, 'pid': 2312, 'vms': 1.296875}
{'name': 'svchost.exe', 'username': None, 'pid': 2320, 'vms': 2.02734375}
{'name': 'Memory Compression', 'username': None, 'pid': 2384, 'vms': 0.828125}
{'name': 'svchost.exe', 'username': None, 'pid': 2456, 'vms': 2.23046875}
{'name': 'spoolsv.exe', 'username': None, 'pid': 2484, 'vms': 5.84375}
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2492, 'vms': 1.74609375}
{'name': 'svchost.exe', 'username': None, 'pid': 2548, 'vms': 1.80859375}
{'name': 'svchost.exe', 'username': None, 'pid': 2556, 'vms': 1.7421875}
{'name': 'svchost.exe', 'username': None, 'pid': 2652, 'vms': 2.6796875}
{'name': 'svchost.exe', 'username': None, 'pid': 2712, 'vms': 1.98046875}
{'name': 'svchost.exe', 'username': None, 'pid': 2716, 'vms': 4.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 2736, 'vms': 1.828125}
{'name': 'svchost.exe', 'username': None, 'pid': 2744, 'vms': 4.27734375}
{'name': 'svchost.exe', 'username': None, 'pid': 2756, 'vms': 3.3671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2876, 'vms': 2.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2940, 'vms': 3.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 2960, 'vms': 41.1953125}
{'name': 'svchost.exe', 'username': None, 'pid': 3032, 'vms': 5.3671875}
{'name': 'EMON.EXE', 'username': None, 'pid': 3044, 'vms': 8.54296875}
{'name': 'EMAILSCN.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3076, 'vms': 8.81640625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3096, 'vms': 94.57421875}
{'name': 'svchost.exe', 'username': None, 'pid': 3128, 'vms': 2.18359375}
{'name': 'svchost.exe', 'username': None, 'pid': 3188, 'vms': 7.18359375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3276, 'vms': 109.01953125}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3376, 'vms': 72.15234375}
{'name': 'nvxdsync.exe', 'username': None, 'pid': 3468, 'vms': 13.09765625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3480, 'vms': 35.83203125}
{'name': 'svchost.exe', 'username': None, 'pid': 3752, 'vms': 3.90625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3788, 'vms': 26.265625}
{'name': 'armsvc.exe', 'username': None, 'pid': 3816, 'vms': 2.91796875}
{'name': 'AdminService.exe', 'username': None, 'pid': 3824, 'vms': 3.91796875}
{'name': 'AGMService.exe', 'username': None, 'pid': 3832, 'vms': 2.5078125}
{'name': 'APCONSVC.EXE', 'username': None, 'pid': 3844, 'vms': 8.26953125}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 3852, 'vms': 1.40625}
{'name': 'AGSService.exe', 'username': None, 'pid': 3872, 'vms': 1.88671875}
{'name': 'CxUtilSvc.exe', 'username': None, 'pid': 3880, 'vms': 1.53125}
{'name': 'CxAudMsg64.exe', 'username': None, 'pid': 3892, 'vms': 1.921875}
{'name': 'svchost.exe', 'username': None, 'pid': 3928, 'vms': 4.28515625}
{'name': 'svchost.exe', 'username': None, 'pid': 3940, 'vms': 8.7265625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3996, 'vms': 19.3046875}
{'name': 'svchost.exe', 'username': None, 'pid': 4124, 'vms': 2.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 4132, 'vms': 1.73828125}
{'name': 'WEBPROT.EXE', 'username': None, 'pid': 4140, 'vms': 11.62890625}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 4148, 'vms': 4.0859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4156, 'vms': 24.5859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4164, 'vms': 1.52734375}
{'name': 'ETDService.exe', 'username': None, 'pid': 4172, 'vms': 1.06640625}
{'name': 'IpOverUsbSvc.exe', 'username': None, 'pid': 4188, 'vms': 7.890625}
{'name': 'SASrv.exe', 'username': None, 'pid': 4196, 'vms': 1.33984375}
{'name': 'Ext2Srv.exe', 'username': None, 'pid': 4204, 'vms': 1.171875}
{'name': 'sqlwriter.exe', 'username': None, 'pid': 4224, 'vms': 1.70703125}
{'name': 'NPProt.exe', 'username': None, 'pid': 4236, 'vms': 0.9921875}
{'name': 'SkypeBackgroundHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4244, 'vms': 1.7734375}
{'name': 'TeamViewer_Service.exe', 'username': None, 'pid': 4256, 'vms': 6.6796875}
{'name': 'ETDCtrlHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4276, 'vms': 2.8125}
{'name': 'ETDIntelligent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4284, 'vms': 2.171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4292, 'vms': 2.0}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4364, 'vms': 49.5078125}
{'name': 'CoreSync.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4372, 'vms': 17.234375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4496, 'vms': 18.46875}
{'name': 'ZVMonNt.exe', 'username': None, 'pid': 4504, 'vms': 31.37890625}
{'name': 'svchost.exe', 'username': None, 'pid': 4512, 'vms': 5.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 4532, 'vms': 2.29296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4536, 'vms': 1.265625}
{'name': 'svchost.exe', 'username': None, 'pid': 4596, 'vms': 3.8984375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4652, 'vms': 22.30078125}
{'name': 'svchost.exe', 'username': None, 'pid': 4720, 'vms': 2.3203125}
{'name': 'svchost.exe', 'username': None, 'pid': 4788, 'vms': 1.5625}
{'name': 'IntelCpHeciSvc.exe', 'username': None, 'pid': 4828, 'vms': 1.3984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4996, 'vms': 1.61328125}
{'name': 'figma_agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5036, 'vms': 4.01171875}
{'name': 'ZVCMD64.EXE', 'username': None, 'pid': 5144, 'vms': 0.796875}
{'name': 'svchost.exe', 'username': None, 'pid': 5336, 'vms': 1.36328125}
{'name': 'unsecapp.exe', 'username': None, 'pid': 5580, 'vms': 1.26171875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5636, 'vms': 1.83984375}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6300, 'vms': 5.140625}
{'name': 'CCXProcess.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6356, 'vms': 0.5625}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6416, 'vms': 3.30078125}
{'name': 'sihost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6436, 'vms': 6.00390625}
{'name': 'ETDCtrl.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6456, 'vms': 9.12109375}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6468, 'vms': 7.28515625}
{'name': 'ZVMOUNT.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6516, 'vms': 1.8359375}
{'name': 'svchost.exe', 'username': None, 'pid': 6540, 'vms': 2.1875}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6584, 'vms': 5.4453125}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6644, 'vms': 17.78515625}
{'name': 'pycharm64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6656, 'vms': 832.98828125}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6748, 'vms': 11.7734375}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 6772, 'vms': 25.08203125}
{'name': 'svchost.exe', 'username': None, 'pid': 6816, 'vms': 1.515625}
{'name': 'svchost.exe', 'username': None, 'pid': 6960, 'vms': 1.6875}
{'name': 'ctfmon.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6964, 'vms': 2.98046875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7020, 'vms': 73.8046875}
{'name': 'svchost.exe', 'username': None, 'pid': 7040, 'vms': 2.98046875}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7164, 'vms': 4.484375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7212, 'vms': 30.453125}
{'name': 'svchost.exe', 'username': None, 'pid': 7240, 'vms': 5.1640625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7292, 'vms': 68.8359375}
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7500, 'vms': 35.0390625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7512, 'vms': 80.34375}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7552, 'vms': 6.31640625}
{'name': 'node.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7580, 'vms': 33.12109375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7664, 'vms': 28.29296875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7824, 'vms': 290.7109375}
{'name': 'conhost.exe', 'username': None, 'pid': 7904, 'vms': 1.12890625}
{'name': 'igfxEM.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8052, 'vms': 3.65625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8064, 'vms': 75.4296875}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 8308, 'vms': 1.75390625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8408, 'vms': 18.1328125}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8492, 'vms': 123.52734375}
{'name': 'MSASCuiL.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8520, 'vms': 1.89453125}
{'name': 'DolbyDAX2TrayIcon.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8536, 'vms': 3.7421875}
{'name': 'fmapp.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8560, 'vms': 0.9453125}
{'name': 'CAudioFilterAgent64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8608, 'vms': 1.78125}
{'name': 'svchost.exe', 'username': None, 'pid': 8636, 'vms': 3.734375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8664, 'vms': 34.05859375}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8744, 'vms': 8.23046875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8820, 'vms': 54.3828125}
{'name': 'dllhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8956, 'vms': 2.01171875}
{'name': 'DolbyDAX2API.exe', 'username': None, 'pid': 9052, 'vms': 25.66796875}
{'name': 'OneDrive.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9120, 'vms': 29.37890625}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9136, 'vms': 5.13671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9140, 'vms': 1.6171875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9328, 'vms': 21.79296875}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9896, 'vms': 5.234375}
{'name': 'WSHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9900, 'vms': 8.14453125}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9916, 'vms': 5.75}
{'name': 'Creative Cloud.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10000, 'vms': 18.16796875}
{'name': 'fsnotifier64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10016, 'vms': 0.51171875}
{'name': 'AdobeIPCBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10028, 'vms': 4.0859375}
{'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10200, 'vms': 2.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 10252, 'vms': 2.0234375}
{'name': 'python.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10276, 'vms': 11.01953125}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 10384, 'vms': 4.6953125}
{'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10432, 'vms': 2.375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10468, 'vms': 79.8671875}
{'name': 'NPHOST.EXE', 'username': None, 'pid': 10596, 'vms': 2.97265625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10736, 'vms': 248.38671875}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11032, 'vms': 5.14453125}
{'name': 'NPAVIDS.EXE', 'username': None, 'pid': 11044, 'vms': 3.890625}
{'name': 'conhost.exe', 'username': None, 'pid': 11232, 'vms': 1.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 11308, 'vms': 1.65234375}
{'name': 'svchost.exe', 'username': None, 'pid': 11316, 'vms': 2.63671875}
{'name': 'SearchUI.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11588, 'vms': 87.140625}
{'name': 'NPDMAL.EXE', 'username': None, 'pid': 11672, 'vms': 8.8984375}
{'name': 'Adobe Desktop Service.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11728, 'vms': 155.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 11952, 'vms': 2.48046875}
{'name': 'Adobe CEF Helper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12000, 'vms': 40.66796875}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12284, 'vms': 1.8984375}
