--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.41796875}
{'pid': 104, 'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.2109375}
{'pid': 344, 'name': 'winlogon.exe', 'username': None, 'vms': 2.3515625}
{'pid': 372, 'name': 'smss.exe', 'username': None, 'vms': 0.4453125}
{'pid': 504, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 4.1484375}
{'pid': 552, 'name': 'csrss.exe', 'username': None, 'vms': 1.828125}
{'pid': 584, 'name': 'WUDFHost.exe', 'username': None, 'vms': 1.8125}
{'pid': 660, 'name': 'svchost.exe', 'username': None, 'vms': 7.18359375}
{'pid': 664, 'name': 'wininit.exe', 'username': None, 'vms': 1.2578125}
{'pid': 680, 'name': 'csrss.exe', 'username': None, 'vms': 2.33984375}
{'pid': 736, 'name': 'services.exe', 'username': None, 'vms': 5.171875}
{'pid': 780, 'name': 'lsass.exe', 'username': None, 'vms': 6.296875}
{'pid': 824, 'name': 'LockApp.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 14.40625}
{'pid': 892, 'name': 'svchost.exe', 'username': None, 'vms': 0.91015625}
{'pid': 916, 'name': 'svchost.exe', 'username': None, 'vms': 11.19921875}
{'pid': 936, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.83203125}
{'pid': 984, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 8.8828125}
{'pid': 1056, 'name': 'dasHost.exe', 'username': None, 'vms': 3.3125}
{'pid': 1060, 'name': 'svchost.exe', 'username': None, 'vms': 2.578125}
{'pid': 1136, 'name': 'svchost.exe', 'username': None, 'vms': 4.640625}
{'pid': 1156, 'name': 'dwm.exe', 'username': None, 'vms': 60.45703125}
{'pid': 1220, 'name': 'svchost.exe', 'username': None, 'vms': 2.03125}
{'pid': 1272, 'name': 'svchost.exe', 'username': None, 'vms': 3.56640625}
{'pid': 1320, 'name': 'svchost.exe', 'username': None, 'vms': 2.3671875}
{'pid': 1328, 'name': 'svchost.exe', 'username': None, 'vms': 7.9609375}
{'pid': 1384, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.3359375}
{'pid': 1440, 'name': 'svchost.exe', 'username': None, 'vms': 6.16796875}
{'pid': 1448, 'name': 'svchost.exe', 'username': None, 'vms': 13.34375}
{'pid': 1508, 'name': 'svchost.exe', 'username': None, 'vms': 2.109375}
{'pid': 1588, 'name': 'svchost.exe', 'username': None, 'vms': 2.328125}
{'pid': 1616, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 7.046875}
{'pid': 1648, 'name': 'Explorer.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 53.64453125}
{'pid': 1672, 'name': 'svchost.exe', 'username': None, 'vms': 1.6796875}
{'pid': 1724, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 23.82421875}
{'pid': 1740, 'name': 'svchost.exe', 'username': None, 'vms': 2.125}
{'pid': 1760, 'name': 'svchost.exe', 'username': None, 'vms': 4.34765625}
{'pid': 1860, 'name': 'svchost.exe', 'username': None, 'vms': 2.1484375}
{'pid': 1884, 'name': 'NPAV4.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.4921875}
{'pid': 1940, 'name': 'svchost.exe', 'username': None, 'vms': 1.546875}
{'pid': 1948, 'name': 'svchost.exe', 'username': None, 'vms': 1.921875}
{'pid': 1956, 'name': 'svchost.exe', 'username': None, 'vms': 1.90234375}
{'pid': 1984, 'name': 'SmartAudio.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 55.9921875}
{'pid': 2068, 'name': 'NVDisplay.Container.exe', 'username': None, 'vms': 2.546875}
{'pid': 2080, 'name': 'svchost.exe', 'username': None, 'vms': 1.92578125}
{'pid': 2100, 'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.0859375}
{'pid': 2120, 'name': 'NPAVIDS.EXE', 'username': None, 'vms': 3.1171875}
{'pid': 2128, 'name': 'svchost.exe', 'username': None, 'vms': 2.671875}
{'pid': 2132, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 70.41015625}
{'pid': 2172, 'name': 'svchost.exe', 'username': None, 'vms': 3.29296875}
{'pid': 2184, 'name': 'svchost.exe', 'username': None, 'vms': 2.1953125}
{'pid': 2204, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 80.54296875}
{'pid': 2304, 'name': 'svchost.exe', 'username': None, 'vms': 82.21484375}
{'pid': 2312, 'name': 'svchost.exe', 'username': None, 'vms': 1.2421875}
{'pid': 2320, 'name': 'svchost.exe', 'username': None, 'vms': 2.02734375}
{'pid': 2380, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 4.05859375}
{'pid': 2384, 'name': 'Memory Compression', 'username': None, 'vms': 0.92578125}
{'pid': 2456, 'name': 'svchost.exe', 'username': None, 'vms': 2.05859375}
{'pid': 2484, 'name': 'spoolsv.exe', 'username': None, 'vms': 5.84375}
{'pid': 2492, 'name': 'igfxCUIService.exe', 'username': None, 'vms': 1.6796875}
{'pid': 2548, 'name': 'svchost.exe', 'username': None, 'vms': 1.7578125}
{'pid': 2556, 'name': 'svchost.exe', 'username': None, 'vms': 1.69140625}
{'pid': 2652, 'name': 'svchost.exe', 'username': None, 'vms': 2.58203125}
{'pid': 2712, 'name': 'svchost.exe', 'username': None, 'vms': 1.92578125}
{'pid': 2716, 'name': 'svchost.exe', 'username': None, 'vms': 3.40625}
{'pid': 2736, 'name': 'svchost.exe', 'username': None, 'vms': 1.56640625}
{'pid': 2744, 'name': 'svchost.exe', 'username': None, 'vms': 3.77734375}
{'pid': 2756, 'name': 'svchost.exe', 'username': None, 'vms': 3.5859375}
{'pid': 2876, 'name': 'svchost.exe', 'username': None, 'vms': 1.8984375}
{'pid': 2940, 'name': 'svchost.exe', 'username': None, 'vms': 3.66796875}
{'pid': 2960, 'name': 'svchost.exe', 'username': None, 'vms': 36.03125}
{'pid': 3032, 'name': 'svchost.exe', 'username': None, 'vms': 5.38671875}
{'pid': 3044, 'name': 'EMON.EXE', 'username': None, 'vms': 8.921875}
{'pid': 3096, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 94.57421875}
{'pid': 3128, 'name': 'svchost.exe', 'username': None, 'vms': 2.17578125}
{'pid': 3188, 'name': 'svchost.exe', 'username': None, 'vms': 7.3203125}
{'pid': 3276, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 116.80078125}
{'pid': 3376, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 71.92578125}
